team,rd1,rd2,rd3,rd4,rd5,rd6,prob_r1,d2,d3,d4,d5,d6,prob_r2,prob_r3,prob_r4,prob_r5,prob_r6
Alabama,96.60,88.10,75.60,55.10,38.40,22.70,0.9660,0.8810,0.7560,0.5510,0.3840,0.2270,0.8960,0.8010,0.6182,0.4702,0.2969
Kansas,95.40,83.40,66.40,42.30,21.40,11.70,0.9540,0.8340,0.6640,0.4230,0.2140,0.1170,0.8532,0.7191,0.4941,0.2757,0.1630
Houston,95.20,81.80,64.20,42.30,26.30,12.00,0.9520,0.8180,0.6420,0.4230,0.2630,0.1200,0.8376,0.7004,0.4987,0.3389,0.1642
Purdue,96.10,78.30,50.20,36.30,15.40,8.40,0.9610,0.7830,0.5020,0.3630,0.1540,0.0840,0.7983,0.5565,0.4534,0.2030,0.1195
Texas,92.90,73.10,56.80,27.50,13.30,6.30,0.9290,0.7310,0.5680,0.2750,0.1330,0.0630,0.7570,0.6444,0.3344,0.1812,0.0903
UCLA,93.70,82.00,48.20,21.20,11.40,5.80,0.9370,0.8200,0.4820,0.2120,0.1140,0.0580,0.8458,0.5254,0.2669,0.1589,0.0837
Arizona,93.30,79.70,52.50,19.20,10.50,4.50,0.9330,0.7970,0.5250,0.1920,0.1050,0.0450,0.8237,0.5783,0.2376,0.1474,0.0651
Gonzaga,92.50,70.40,34.80,16.40,8.60,4.10,0.9250,0.7040,0.3480,0.1640,0.0860,0.0410,0.7304,0.3995,0.2175,0.1219,0.0597
Duke,81.30,47.10,23.10,14.60,6.10,3.20,0.8130,0.4710,0.2310,0.1460,0.0610,0.0320,0.5150,0.2921,0.2021,0.0870,0.0470
Marquette,92.10,71.80,49.40,19.00,7.40,3.20,0.9210,0.7180,0.4940,0.1900,0.0740,0.0320,0.7464,0.5637,0.2381,0.1040,0.0468
Connecticut,85.40,61.00,17.30,8.20,3.80,1.80,0.8540,0.6100,0.1730,0.0820,0.0380,0.0180,0.6545,0.2067,0.1159,0.0554,0.0267
Baylor,90.20,61.00,26.10,9.60,4.30,1.50,0.9020,0.6100,0.2610,0.0960,0.0430,0.0150,0.6399,0.3119,0.1315,0.0624,0.0222
Tennessee,84.20,41.30,14.30,8.30,3.50,1.50,0.8420,0.4130,0.1430,0.0830,0.0350,0.0150,0.4456,0.1850,0.1186,0.0510,0.0222
Kentucky,71.10,33.30,14.80,4.60,1.90,1.10,0.7110,0.3330,0.1480,0.0460,0.0190,0.0110,0.3811,0.1974,0.0656,0.0281,0.0164
Indiana,81.80,50.80,14.00,6.30,2.30,1.10,0.8180,0.5080,0.1400,0.0630,0.0230,0.0110,0.5542,0.1744,0.0901,0.0338,0.0164
